dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
csi300,1786,0.5050167224080268,6.5594783,8.9403925,3.6888099,7.2368226
csi300,1798,0.5083612040133779,4.535388,7.97708,3.7573583,7.2353153
csi300,1809,0.5117056856187291,4.2856827,8.042593,5.335265,6.2951474
csi300,1821,0.5150501672240803,4.737714,7.3206105,3.995583,9.168521
csi300,1833,0.5183946488294314,4.8341274,7.365538,5.493758,6.246272
csi300,1845,0.5217391304347826,3.8915825,8.363701,3.7109582,7.117961
csi300,1857,0.5250836120401338,4.9301243,8.027806,3.770872,7.1084776
csi300,1869,0.5284280936454849,7.1663227,7.287948,3.6780791,7.282396
csi300,1880,0.5317725752508361,7.402893,7.518812,4.3159213,9.2866535
csi300,1892,0.5351170568561873,9.696987,9.040938,4.1697893,9.130213
csi300,1904,0.5384615384615384,7.9790454,7.498212,5.650676,6.3707604
csi300,1916,0.5418060200668896,7.8860474,7.2512054,3.7793844,7.2004447
csi300,1928,0.5451505016722408,8.190242,7.0417576,3.7311723,7.2630243
csi300,1940,0.5484949832775919,5.0333586,7.392234,5.5635157,6.239782
csi300,1951,0.5518394648829431,4.8651047,7.326044,3.5773468,7.3257995
csi300,1963,0.5551839464882943,4.481028,7.1254005,3.5764244,7.2821245
csi300,1975,0.5585284280936454,3.736874,8.406317,3.6649241,7.2522817
csi300,1987,0.5618729096989966,3.8376932,8.174439,3.6357152,7.2564793
csi300,1999,0.5652173913043478,5.106673,6.722283,3.698371,7.2204847
csi300,2011,0.568561872909699,4.9132032,6.655337,3.6626482,7.32792
csi300,2022,0.5719063545150501,5.006457,6.788687,3.7950969,7.1163025
csi300,2034,0.5752508361204013,4.629057,6.8052177,5.4457016,6.236294
csi300,2046,0.5785953177257525,4.731523,6.533216,3.7352352,7.16487
csi300,2058,0.5819397993311036,8.124751,9.069628,5.5247726,6.260873
csi300,2070,0.5852842809364548,3.9279952,8.321056,3.9371133,9.162948
csi300,2081,0.588628762541806,7.562112,7.9659734,3.5669546,7.440345
csi300,2093,0.5919732441471571,5.596187,7.9454207,3.717084,7.3009505
csi300,2105,0.5953177257525083,5.736028,8.466067,3.550682,7.279284
csi300,2117,0.5986622073578595,8.799013,7.4209743,4.1144323,9.165399
csi300,2129,0.6020066889632107,7.669701,7.824119,3.68231,7.311245
csi300,2141,0.6053511705685619,8.431644,7.593503,5.5602474,6.2759304
csi300,2152,0.6086956521739131,5.6048374,7.5682435,5.5049667,6.1480384
csi300,2164,0.6120401337792643,5.357503,7.9558907,3.6705174,7.3135705
csi300,2176,0.6153846153846154,7.07736,9.130909,5.5258603,6.225224
csi300,2188,0.6187290969899666,7.453266,9.2827015,3.6740844,7.130409
csi300,2200,0.6220735785953178,8.001454,9.785498,5.4347377,6.2491746
csi300,2212,0.6254180602006689,8.224902,9.35385,3.6202834,7.200421
csi300,2223,0.6287625418060201,6.48308,9.833908,5.2723136,6.212819
csi300,2235,0.6321070234113713,8.799249,9.449463,3.724263,7.1867228
csi300,2247,0.6354515050167224,6.421718,8.526574,3.6686833,7.163156
csi300,2259,0.6387959866220736,5.252905,8.334793,3.6179318,7.1579475
csi300,2271,0.6421404682274248,7.459594,8.03102,3.509762,7.3907757
csi300,2283,0.6454849498327759,6.097893,7.609547,3.6091843,7.281861
csi300,2294,0.6488294314381271,5.5775714,8.378881,3.6315572,7.249087
csi300,2306,0.6521739130434783,8.451363,7.8244033,5.3962626,9.5096035
csi300,2318,0.6555183946488294,5.6189346,8.2934885,3.8511865,7.2120194
csi300,2330,0.6588628762541806,9.1163025,9.552286,5.6486936,6.2144976
csi300,2342,0.6622073578595318,8.722867,10.384424,3.6785212,7.0997906
csi300,2354,0.6655518394648829,9.586169,10.090915,5.497741,6.2155256
csi300,2365,0.6688963210702341,9.924283,9.828453,3.6109552,7.437063
csi300,2377,0.6722408026755853,7.6673355,10.578853,3.586068,7.211182
csi300,2389,0.6755852842809364,6.2784996,8.889603,5.307065,6.2190757
csi300,2401,0.6789297658862876,9.93228,9.295466,5.496429,6.292806
csi300,2413,0.6822742474916388,8.587704,10.657285,3.7016098,7.260527
csi300,2425,0.68561872909699,9.772113,9.625293,5.4713492,6.241262
csi300,2436,0.6889632107023411,7.8073564,8.185481,5.475258,9.604724
csi300,2448,0.6923076923076923,6.6990047,7.657456,5.431533,6.3862367
csi300,2460,0.6956521739130435,8.774243,7.668841,3.9748921,9.083107
csi300,2472,0.6989966555183946,8.038026,9.3607235,5.5548916,6.2694864
csi300,2484,0.7023411371237458,8.811361,9.283111,3.6760306,7.2943087
csi300,2496,0.705685618729097,8.56543,9.574221,3.7283924,7.3735847
csi300,2507,0.7090301003344481,8.896952,9.681862,3.6279573,7.267003
csi300,2519,0.7123745819397993,8.178717,10.121313,3.6252682,7.2551527
csi300,2531,0.7157190635451505,7.1710005,9.731604,3.6992507,7.2868385
csi300,2543,0.7190635451505016,5.3289695,8.925871,3.7229254,7.1368055
csi300,2555,0.7224080267558528,5.4409037,8.814997,3.7191565,7.234233
csi300,2566,0.725752508361204,5.177106,8.437898,3.6585574,7.2210903
csi300,2578,0.7290969899665551,5.3665457,8.472743,5.6894155,6.2434254
csi300,2590,0.7324414715719063,4.6632485,8.098292,3.9476955,9.207686
csi300,2602,0.7357859531772575,4.6232285,6.7658305,5.4266768,6.2483497
csi300,2614,0.7391304347826086,4.232583,7.4662623,3.6393065,7.359706
csi300,2626,0.7424749163879598,7.872069,9.779686,5.5532584,9.518898
csi300,2637,0.745819397993311,8.444933,9.749827,5.5204697,6.252938
csi300,2649,0.7491638795986622,7.9175496,9.534346,3.6896436,7.2835565
csi300,2661,0.7525083612040133,9.518384,9.414441,4.035665,9.0746565
csi300,2673,0.7558528428093645,8.785794,9.249565,3.69398,7.234633
csi300,2685,0.7591973244147157,7.8314886,7.965153,5.550401,6.293213
csi300,2697,0.7625418060200668,7.8386984,7.590895,5.54927,9.547039
csi300,2708,0.765886287625418,5.221699,7.1509075,3.7626376,7.120969
csi300,2720,0.7692307692307692,4.0920796,7.8014965,5.465044,6.4326415
csi300,2732,0.7725752508361204,4.1721764,7.543536,3.6496775,7.316052
csi300,2744,0.7759197324414716,3.9361615,7.9077635,4.032443,9.173821
csi300,2756,0.7792642140468228,3.801876,8.302781,3.545881,7.3399744
csi300,2768,0.782608695652174,3.987485,7.596946,3.6226344,7.205505
csi300,2779,0.7859531772575251,4.165833,7.4334903,3.6739511,7.191163
csi300,2791,0.7892976588628763,5.96015,6.8476577,3.7740839,7.219794
csi300,2803,0.7926421404682275,6.504383,8.26138,3.6492062,7.3162193
csi300,2815,0.7959866220735786,6.4458337,9.712881,3.6265497,7.294899
csi300,2827,0.7993311036789298,5.8365083,8.828093,5.4116035,6.219068
csi300,2839,0.802675585284281,9.723574,9.026883,3.666411,7.1407633
csi300,2850,0.8060200668896321,7.0301485,10.363192,3.8198376,7.173226
csi300,2862,0.8093645484949833,9.340022,10.148697,3.705161,7.1311345
csi300,2874,0.8127090301003345,9.919724,9.721949,3.707847,7.054373
csi300,2886,0.8160535117056856,9.280587,10.085655,3.6048477,7.304028
csi300,2898,0.8193979933110368,9.901706,9.605151,3.4920254,7.4547763
csi300,2910,0.822742474916388,9.892298,9.285409,3.7045214,7.1177573
csi300,2921,0.8260869565217391,5.6470118,7.7013497,3.9032342,9.11432
csi300,2933,0.8294314381270903,5.496002,7.4150963,3.559217,7.247998
csi300,2945,0.8327759197324415,5.48035,7.714811,3.6685166,7.1652327
csi300,2957,0.8361204013377926,5.5336046,7.616137,5.2486873,9.501952
csi300,2969,0.8394648829431438,5.5496774,8.112076,3.6687467,7.256627
csi300,2981,0.842809364548495,9.167738,9.8218355,5.63419,6.171634
csi300,2992,0.8461538461538461,8.98742,10.020396,3.7317142,7.214715
csi300,3004,0.8494983277591973,9.33293,9.883593,3.572166,7.360499
csi300,3016,0.8528428093645485,7.9759054,10.044173,5.5771565,6.264812
csi300,3028,0.8561872909698997,8.208915,9.126053,5.25382,9.421604
csi300,3040,0.8595317725752508,6.314935,6.88046,5.197984,6.170378
csi300,3051,0.862876254180602,4.7741394,7.713165,3.7870293,7.1741166
csi300,3063,0.8662207357859532,4.4740143,7.7590346,3.6880562,7.176496
csi300,3075,0.8695652173913043,8.843648,9.923202,3.6946685,7.1212206
csi300,3087,0.8729096989966555,7.639021,8.847016,5.094297,9.251072
csi300,3099,0.8762541806020067,7.535216,10.113468,3.5886748,7.339834
csi300,3111,0.8795986622073578,7.7863417,10.093757,5.587179,6.21297
csi300,3122,0.882943143812709,8.093831,10.374881,5.430803,6.262981
csi300,3134,0.8862876254180602,9.319901,8.234995,3.6321335,7.2270555
csi300,3146,0.8896321070234113,8.12396,10.769327,3.6806345,7.220249
csi300,3158,0.8929765886287625,9.673324,9.050281,5.541753,6.256126
csi300,3170,0.8963210702341137,9.010723,7.260067,4.605185,9.315168
csi300,3182,0.8996655518394648,6.235247,7.3106003,3.6230135,7.3288994
csi300,3193,0.903010033444816,8.823249,7.1109443,3.611555,7.1584277
csi300,3205,0.9063545150501672,4.9452167,7.2239394,3.7324371,7.059149
csi300,3217,0.9096989966555183,4.660338,6.9336824,3.6898909,7.2096324
csi300,3229,0.9130434782608695,7.3778386,8.949581,3.5523684,7.533627
csi300,3241,0.9163879598662207,6.995717,7.251867,3.4829664,7.3677235
csi300,3253,0.9197324414715718,7.537602,8.031947,3.6459305,7.278662
csi300,3264,0.923076923076923,6.238646,8.594392,3.4852834,7.6304984
csi300,3276,0.9264214046822742,7.0293818,6.649714,3.7447283,8.903168
csi300,3288,0.9297658862876254,6.9715877,6.618562,5.317794,9.516043
csi300,3300,0.9331103678929765,4.6334,7.037606,3.6810088,7.123532
csi300,3312,0.9364548494983277,5.170784,7.1359754,5.5555954,6.1792116
csi300,3324,0.9397993311036789,6.1813464,6.998376,3.8888485,8.990637
csi300,3335,0.9431438127090301,8.027312,7.437534,3.6713057,7.3042727
csi300,3347,0.9464882943143813,7.147568,10.131923,3.6443887,7.399469
csi300,3359,0.9498327759197325,7.5936084,10.674703,5.603356,6.1704774
csi300,3371,0.9531772575250836,9.829709,9.57185,3.6833203,7.1784964
csi300,3383,0.9565217391304348,9.095697,9.943046,5.358279,6.337353
csi300,3395,0.959866220735786,7.710888,10.418835,5.3308706,6.179724
csi300,3406,0.9632107023411371,7.812795,10.23403,3.5901525,7.1888914
csi300,3418,0.9665551839464883,5.7802324,8.979764,5.4126816,6.302221
csi300,3430,0.9698996655518395,5.7204885,8.973794,3.7876751,7.112455
csi300,3442,0.9732441471571907,4.26037,8.259003,3.6114516,7.16121
csi300,3454,0.9765886287625418,5.244882,7.5174327,3.6721575,7.245342
csi300,3466,0.979933110367893,5.291758,7.549326,3.7097237,7.2053328
csi300,3477,0.9832775919732442,5.625318,7.30592,3.7590115,7.1518354
csi300,3489,0.9866220735785953,8.370122,7.239916,3.701782,7.2021227
csi300,3501,0.9899665551839465,7.8104753,7.2278023,3.6469967,7.2552457
csi300,3513,0.9933110367892977,7.313809,7.5872293,4.2107496,9.186247
csi300,3525,0.9966555183946488,9.460344,9.00243,3.5997846,7.2944403
csi300,3537,1.0,7.876953,9.298088,3.7006745,7.136073
