date,value
2018-11-28,1.1499064
2018-11-29,-1.1915721
2018-11-30,0.9607112
2018-12-03,2.4447396
2018-12-04,0.15033421
2018-12-05,-0.46270448
2018-12-06,-1.9617227
2018-12-07,-0.037426855
2018-12-10,-1.0652152
2018-12-11,0.39217988
2018-12-12,0.2700194
2018-12-13,1.3452102
2018-12-14,-1.5229903
2018-12-17,-0.16709289
2018-12-18,-0.958204
2018-12-19,-1.0969532
2018-12-20,-0.71790403
2018-12-21,-1.1390331
2018-12-24,0.22457175
2018-12-25,-0.6479159
2018-12-26,-0.48476967
2018-12-27,-0.37657917
2018-12-28,0.56602407
2019-01-02,-1.2515103
2019-01-03,-0.17523587
2019-01-04,2.1006844
2019-01-07,0.5065852
2019-01-08,-0.22694081
2019-01-09,0.86541766
2019-01-10,-0.20198603
2019-01-11,0.60635114
2019-01-14,-0.8117049
2019-01-15,1.71456
2019-01-16,-0.015552914
2019-01-17,-0.5253092
2019-01-18,1.5912415
2019-01-21,0.45681372
2019-01-22,-1.2182584
2019-01-23,-0.09857084
2019-01-24,0.46859527
2019-01-25,0.6903305
2019-01-28,-0.053749975
2019-01-29,0.25089696
2019-01-30,-0.7455147
2019-01-31,0.8980002
2019-02-01,1.2394525
2019-02-11,1.5867902
2019-02-12,0.60877335
2019-02-13,1.7502446
2019-02-14,0.099744745
2019-02-15,-1.6960484
2019-02-18,2.822737
2019-02-19,-0.19311003
2019-02-20,0.2847968
2019-02-21,-0.27246282
2019-02-22,1.9694939
2019-02-25,3.0
2019-02-26,-1.1046447
2019-02-27,-0.18679431
2019-02-28,-0.25295794
2019-03-01,1.9169071
2019-03-04,1.0205963
2019-03-05,0.48021746
2019-03-06,0.7147222
2019-03-07,-0.94315565
2019-03-08,-3.0
2019-03-11,1.7290399
2019-03-12,0.57240885
2019-03-13,-0.773784
2019-03-14,-0.64956784
2019-03-15,1.0865155
2019-03-18,2.505687
2019-03-19,-0.44588205
2019-03-20,-5.3117874e-05
2019-03-21,-0.00065866165
2019-03-22,-0.106161386
2019-03-25,-2.1491332
2019-03-26,-1.0436121
2019-03-27,0.999944
2019-03-28,-0.39130345
2019-03-29,3.0
2019-04-01,2.303499
2019-04-02,-0.093657434
2019-04-03,1.1071783
2019-04-04,0.85351926
2019-04-08,-0.14413004
2019-04-09,0.36540848
2019-04-10,0.19339156
2019-04-11,-1.9596353
2019-04-12,-0.23415954
2019-04-15,-0.32690865
2019-04-16,2.4373455
2019-04-17,-0.002751506
2019-04-18,-0.36503133
2019-04-19,1.0277458
2019-04-22,-2.088903
2019-04-23,-0.1806167
2019-04-24,0.21136664
2019-04-25,-1.9863535
2019-04-26,-1.2222422
2019-04-29,0.21901561
2019-04-30,0.2598314
2019-05-06,-3.0
2019-05-07,0.8375626
2019-05-08,-1.3088882
2019-05-09,-1.6808513
2019-05-10,3.0
2019-05-13,-1.5089619
2019-05-14,-0.6070523
2019-05-15,1.968931
2019-05-16,0.36900988
2019-05-17,-2.3004768
2019-05-20,-0.79076046
2019-05-21,1.1722265
2019-05-22,-0.45719084
2019-05-23,-1.6318077
2019-05-24,0.21300268
2019-05-27,1.03889
2019-05-28,0.8247187
2019-05-29,-0.23705977
2019-05-30,-0.5871437
2019-05-31,-0.31325734
2019-06-03,0.020195415
2019-06-04,-0.85749245
2019-06-05,-0.06810774
2019-06-06,-0.8377645
2019-06-10,1.1172495
2019-06-11,2.644314
